Iteration, Symbol, NumTrades, Profit, maxDD, maxDDLength, PF, R2, ulcerIndex, Sharpe, CAGR, CAGR to Max DD, numShorts, numLongs, Set Parameters
1,b'GBPJPY',119,22580.848686,6.915445,1450,1.667206,0.583792,2.778048,0.588871,2.933238,0.424158,52,67,AUTOBBS_RISK_CAP=0.000000
2,b'GBPJPY',236,18176.972223,6.487742,1450,1.555207,0.565054,2.617136,0.581940,2.399858,0.369907,102,134,AUTOBBS_RISK_CAP=5.000000
3,b'GBPJPY',236,16700.204190,6.517996,1323,1.513071,0.587211,2.545549,0.588246,2.217177,0.340162,102,134,AUTOBBS_RISK_CAP=3.000000
